campaign,creative,total_payments,total_ltv,avg_late_payment_share,monetization_efficiency
campaign_436,creative_998,2,118.96,1.000,59.48
campaign_185,creative_503,13,118.93,1.000,9.15
campaign_366,creative_861,2,118.93,1.000,59.46
campaign_146,creative_376,2,118.93,1.000,59.46
campaign_23,creative_54,24,118.92,1.000,4.95
campaign_456,creative_329,7,118.78,1.000,16.97
campaign_318,creative_757,7,118.77,1.000,16.97
campaign_111,creative_294,2,118.48,1.000,59.24
campaign_187,creative_456,2,118.48,1.000,59.24
campaign_573,creative_1333,2,118.48,1.000,59.24
campaign_164,creative_440,2,118.48,1.000,59.24
campaign_357,creative_849,2,118.48,1.000,59.24
campaign_167,creative_452,2,118.48,1.000,59.24
campaign_104,creative_36,2,118.48,1.000,59.24
campaign_572,creative_723,2,118.48,1.000,59.24
campaign_366,creative_865,10,118.25,1.000,11.83
campaign_44,creative_138,3,117.53,1.000,39.18
campaign_107,creative_280,8,117.45,1.000,14.68
campaign_16,creative_34,15,117.41,0.944,7.83
campaign_321,creative_765,22,117.34,0.952,5.33
campaign_149,creative_364,2,117.22,1.000,58.61
campaign_138,creative_351,4,117.19,0.833,29.30
campaign_59,creative_175,2,117.14,1.000,58.57
campaign_272,creative_649,2,117.12,1.000,58.56
campaign_458,creative_330,2,117.09,1.000,58.54
campaign_415,creative_945,8,116.94,1.000,14.62
campaign_551,creative_513,5,116.93,1.000,23.39
campaign_408,creative_931,17,116.70,1.000,6.86
campaign_63,creative_180,7,116.57,1.000,16.65
campaign_553,creative_1269,24,116.51,0.917,4.85
campaign_368,creative_821,12,116.43,1.000,9.70
campaign_176,creative_481,8,116.39,1.000,14.55
campaign_166,creative_449,3,116.36,1.000,38.79
campaign_566,creative_1301,4,116.30,1.000,29.07
campaign_100,creative_58,3,116.23,1.000,38.74
campaign_314,creative_509,5,116.18,1.000,23.24
campaign_199,creative_430,2,116.05,1.000,58.03
campaign_148,creative_377,4,115.73,1.000,28.93
campaign_203,creative_524,6,115.13,1.000,19.19
campaign_2,creative_5,2,115.09,1.000,57.55
campaign_28,creative_77,4,115.09,1.000,28.77
campaign_281,creative_658,3,115.05,1.000,38.35
campaign_192,creative_524,5,114.99,1.000,23.00
campaign_564,creative_1312,4,114.88,1.000,28.72
campaign_150,creative_381,2,114.83,1.000,57.42
campaign_314,creative_744,6,114.51,1.000,19.08
campaign_207,creative_334,5,114.26,1.000,22.85
campaign_111,creative_293,4,114.17,1.000,28.54
campaign_489,creative_1120,7,114.10,1.000,16.30
campaign_450,creative_346,4,113.91,1.000,28.48
campaign_176,creative_480,11,113.87,1.000,10.35
campaign_102,creative_140,6,113.83,0.667,18.97
campaign_545,creative_1247,2,113.63,1.000,56.81
campaign_152,creative_373,3,113.61,1.000,37.87
campaign_42,creative_136,3,113.31,1.000,37.77
campaign_479,creative_1088,4,113.25,1.000,28.31
campaign_189,creative_521,8,113.15,1.000,14.14
campaign_527,creative_1201,2,113.14,1.000,56.57
campaign_19,creative_33,40,113.13,1.000,2.83
campaign_482,creative_1097,10,112.83,1.000,11.28
campaign_174,creative_476,16,112.83,1.000,7.05
campaign_359,creative_855,4,112.54,1.000,28.14
campaign_91,creative_256,10,112.44,1.000,11.24
campaign_589,creative_1360,23,112.34,1.000,4.88
campaign_526,creative_1199,23,112.23,1.000,4.88
campaign_76,creative_224,15,112.01,1.000,7.47
campaign_185,creative_502,4,112.01,0.750,28.00
campaign_557,creative_1269,9,111.17,1.000,12.35
campaign_112,creative_292,13,111.09,0.923,8.55
campaign_195,creative_519,2,110.98,1.000,55.49
campaign_285,creative_647,2,110.98,1.000,55.49
campaign_126,creative_336,3,110.92,0.500,36.97
campaign_321,creative_767,2,110.92,1.000,55.46
campaign_336,creative_795,2,110.92,1.000,55.46
campaign_132,creative_343,2,110.92,1.000,55.46
campaign_200,creative_327,2,110.92,1.000,55.46
campaign_5,creative_13,2,110.92,1.000,55.46
campaign_454,creative_329,19,110.75,1.000,5.83
campaign_361,creative_857,19,110.71,1.000,5.83
campaign_467,creative_1070,2,110.57,1.000,55.29
campaign_545,creative_1239,5,110.57,1.000,22.11
campaign_160,creative_428,8,110.55,1.000,13.82
campaign_192,creative_519,2,110.55,1.000,55.28
campaign_1,creative_1,6,110.54,1.000,18.42
campaign_156,creative_388,10,110.50,1.000,11.05
campaign_414,creative_918,23,110.42,0.957,4.80
campaign_37,creative_84,4,110.34,1.000,27.59
campaign_220,creative_562,4,110.30,1.000,27.57
campaign_258,creative_621,16,110.17,1.000,6.89
campaign_384,creative_893,5,110.12,1.000,22.02
campaign_292,creative_690,2,109.86,1.000,54.93
campaign_112,creative_295,2,109.86,1.000,54.93
campaign_49,creative_145,2,109.86,1.000,54.93
campaign_389,creative_897,4,109.77,0.833,27.44
campaign_410,creative_936,26,109.69,0.962,4.22
campaign_87,creative_251,9,109.68,1.000,12.19
campaign_186,creative_512,22,109.23,0.967,4.97
campaign_160,creative_430,2,109.18,1.000,54.59
campaign_104,creative_39,2,109.18,1.000,54.59
campaign_92,creative_51,2,109.18,1.000,54.59
campaign_177,creative_484,2,109.18,1.000,54.59
campaign_327,creative_784,30,109.15,1.000,3.64
campaign_122,creative_328,14,109.04,1.000,7.79
campaign_289,creative_644,4,108.89,1.000,27.22
campaign_165,creative_443,5,108.79,1.000,21.76
campaign_382,creative_886,6,108.74,1.000,18.12
campaign_204,creative_520,5,108.71,1.000,21.74
campaign_325,creative_777,3,108.64,1.000,36.21
campaign_359,creative_853,2,108.64,1.000,54.32
campaign_525,creative_1197,11,108.60,1.000,9.87
campaign_436,creative_1000,2,108.36,1.000,54.18
campaign_364,creative_824,19,108.35,1.000,5.70
campaign_222,creative_565,2,108.34,1.000,54.17
campaign_388,creative_905,4,108.11,1.000,27.03
campaign_101,creative_59,1,108.06,1.000,108.06
campaign_407,creative_929,5,108.06,1.000,21.61
campaign_159,creative_375,2,107.97,1.000,53.99
campaign_27,creative_73,2,107.97,1.000,53.99
campaign_311,creative_739,2,107.89,1.000,53.95
campaign_308,creative_456,2,107.89,1.000,53.95
campaign_198,creative_517,7,107.64,1.000,15.38
campaign_523,creative_1189,2,107.64,1.000,53.82
campaign_456,creative_1045,4,107.42,0.833,26.85
campaign_439,creative_1022,3,107.23,0.500,35.74
campaign_442,creative_331,1,106.80,1.000,106.80
campaign_173,creative_471,5,106.72,1.000,21.34
campaign_388,creative_904,7,106.65,1.000,15.24
campaign_257,creative_615,1,106.01,1.000,106.01
campaign_563,creative_1306,7,105.66,0.500,15.09
campaign_37,creative_81,25,105.20,0.960,4.21
campaign_369,creative_871,20,105.16,1.000,5.26
campaign_411,creative_938,20,105.09,1.000,5.25
campaign_306,creative_709,12,105.05,0.917,8.75
campaign_496,creative_1129,22,104.72,1.000,4.76
campaign_418,creative_898,8,104.71,1.000,13.09
campaign_289,creative_543,3,104.63,1.000,34.88
campaign_290,creative_644,2,104.46,1.000,52.23
campaign_206,creative_326,2,104.42,1.000,52.21
campaign_468,creative_1080,2,104.42,1.000,52.21
campaign_346,creative_497,6,104.38,1.000,17.40
campaign_401,creative_923,13,104.37,1.000,8.03
campaign_436,creative_1004,2,104.13,1.000,52.06
campaign_124,creative_333,5,104.10,0.800,20.82
campaign_315,creative_513,9,103.88,1.000,11.54
campaign_201,creative_327,38,103.43,1.000,2.72
campaign_554,creative_1267,3,103.35,0.667,34.45
campaign_388,creative_899,2,103.35,1.000,51.67
campaign_199,creative_441,21,103.19,1.000,4.91
campaign_221,creative_565,2,103.14,1.000,51.57
campaign_78,creative_234,8,102.88,1.000,12.86
campaign_336,creative_800,12,102.86,1.000,8.57
campaign_483,creative_1097,9,102.67,1.000,11.41
campaign_436,creative_1005,4,102.61,1.000,25.65
campaign_315,creative_512,5,102.48,1.000,20.50
campaign_222,creative_564,9,102.38,0.889,11.38
campaign_130,creative_340,4,102.35,1.000,25.59
campaign_7,creative_21,2,102.34,1.000,51.17
campaign_418,creative_897,9,102.30,1.000,11.37
campaign_167,creative_453,2,102.25,1.000,51.12
campaign_521,creative_626,6,102.04,1.000,17.01
campaign_279,creative_668,8,102.02,1.000,12.75
campaign_19,creative_42,12,102.02,1.000,8.50
campaign_306,creative_708,5,101.91,1.000,20.38
campaign_44,creative_54,25,101.65,1.000,4.07
campaign_437,creative_1014,9,101.57,1.000,11.29
campaign_5,creative_1,5,101.40,1.000,20.28
campaign_266,creative_638,2,101.39,1.000,50.69
campaign_371,creative_869,8,101.30,1.000,12.66
campaign_151,creative_402,2,101.29,1.000,50.65
campaign_563,creative_1311,4,101.27,1.000,25.32
campaign_483,creative_1112,14,101.19,0.929,7.23
campaign_530,creative_1209,3,101.07,1.000,33.69
campaign_191,creative_324,4,100.94,1.000,25.24
campaign_455,creative_1045,4,100.88,1.000,25.22
campaign_63,creative_177,2,100.83,1.000,50.41
campaign_570,creative_1306,2,100.83,1.000,50.41
campaign_562,creative_1303,2,100.83,1.000,50.41
campaign_563,creative_1309,2,100.83,1.000,50.41
campaign_130,creative_341,3,100.83,0.667,33.61
campaign_436,creative_1002,2,100.83,1.000,50.41
campaign_564,creative_1308,2,100.83,1.000,50.41
campaign_123,creative_332,2,100.83,1.000,50.41
campaign_563,creative_1308,4,100.83,1.000,25.21
campaign_32,creative_83,2,100.83,1.000,50.41
campaign_55,creative_168,3,100.83,0.667,33.61
campaign_296,creative_693,2,100.83,1.000,50.41
campaign_565,creative_1309,3,100.83,0.667,33.61
campaign_269,creative_639,5,100.83,0.333,20.17
campaign_568,creative_1324,2,100.83,1.000,50.41
campaign_135,creative_331,2,100.83,1.000,50.41
campaign_553,creative_1271,2,100.83,1.000,50.41
campaign_276,creative_655,2,100.83,1.000,50.41
campaign_193,creative_339,2,100.83,1.000,50.41
campaign_122,creative_329,2,100.83,1.000,50.41
campaign_554,creative_1272,2,100.83,1.000,50.41
campaign_218,creative_555,2,100.83,1.000,50.41
campaign_144,creative_374,2,100.83,1.000,50.41
campaign_453,creative_329,84,100.75,0.964,1.20
campaign_54,creative_159,6,100.75,1.000,16.79
campaign_545,creative_1242,5,100.72,1.000,20.14
campaign_425,creative_944,70,100.68,0.943,1.44
campaign_479,creative_1089,10,100.58,1.000,10.06
campaign_555,creative_1279,2,100.55,1.000,50.27
campaign_455,creative_1040,66,100.52,0.939,1.52
campaign_459,creative_1049,10,100.45,1.000,10.04
campaign_45,creative_140,6,100.35,0.667,16.72
campaign_583,creative_1345,15,100.32,1.000,6.69
campaign_589,creative_1361,4,100.20,1.000,25.05
campaign_459,creative_1057,6,99.93,1.000,16.65
campaign_462,creative_327,13,99.92,0.846,7.69
campaign_419,creative_958,59,99.92,0.983,1.69
campaign_437,creative_991,2,99.72,1.000,49.86
campaign_187,creative_512,6,99.47,0.833,16.58
campaign_45,creative_70,4,99.47,1.000,24.87
campaign_201,creative_524,1,99.41,1.000,99.41
campaign_455,creative_1046,1,99.41,1.000,99.41
campaign_560,creative_1292,1,99.41,1.000,99.41
campaign_415,creative_946,11,99.35,1.000,9.03
campaign_380,creative_881,1,99.30,1.000,99.30
campaign_412,creative_913,7,99.29,1.000,14.18
campaign_366,creative_868,3,99.10,1.000,33.03
campaign_151,creative_398,2,99.02,1.000,49.51
campaign_272,creative_639,11,98.82,1.000,8.98
campaign_455,creative_524,4,98.65,1.000,24.66
campaign_37,creative_87,6,98.50,1.000,16.42
campaign_182,creative_499,7,98.38,0.714,14.05
campaign_203,creative_343,3,98.37,1.000,32.79
campaign_479,creative_1109,11,98.12,1.000,8.92
campaign_542,creative_1231,4,98.10,1.000,24.53
campaign_468,creative_1086,8,98.10,1.000,12.26
campaign_273,creative_643,2,98.00,1.000,49.00
campaign_474,creative_1098,13,97.73,1.000,7.52
campaign_371,creative_817,8,97.30,1.000,12.16
campaign_459,creative_1051,20,97.24,0.950,4.86
campaign_136,creative_355,13,97.22,0.923,7.48
campaign_222,creative_568,2,97.20,1.000,48.60
campaign_561,creative_1301,2,97.20,1.000,48.60
campaign_118,creative_313,2,96.95,1.000,48.47
campaign_585,creative_1351,2,96.78,1.000,48.39
campaign_198,creative_531,4,96.64,1.000,24.16
campaign_52,creative_161,5,96.60,1.000,19.32
campaign_354,creative_838,9,96.59,1.000,10.73
campaign_233,creative_572,4,96.55,1.000,24.14
campaign_220,creative_555,10,96.54,1.000,9.65
campaign_384,creative_894,6,96.46,1.000,16.08
campaign_121,creative_323,25,96.45,1.000,3.86
campaign_42,creative_42,6,96.00,0.833,16.00
campaign_142,creative_371,4,95.96,1.000,23.99
campaign_203,creative_523,3,95.94,1.000,31.98
campaign_311,creative_740,2,95.84,1.000,47.92
campaign_425,creative_964,12,95.62,1.000,7.97
campaign_272,creative_651,6,95.46,1.000,15.91
campaign_31,creative_83,4,95.41,1.000,23.85
campaign_285,creative_645,2,95.18,1.000,47.59
campaign_117,creative_310,2,95.18,1.000,47.59
campaign_451,creative_1043,2,95.18,1.000,47.59
campaign_564,creative_1310,2,95.18,1.000,47.59
campaign_216,creative_550,12,94.91,1.000,7.91
campaign_125,creative_333,2,94.73,1.000,47.37
campaign_585,creative_1350,8,94.66,1.000,11.83
campaign_475,creative_1100,11,94.62,0.818,8.60
campaign_189,creative_324,9,94.32,1.000,10.48
campaign_5,creative_12,8,94.31,0.875,11.79
campaign_58,creative_171,5,94.03,0.800,18.81
campaign_384,creative_891,17,93.83,0.882,5.52
campaign_173,creative_472,3,93.73,1.000,31.24
campaign_186,creative_502,11,93.68,1.000,8.52
campaign_450,creative_353,17,93.61,1.000,5.51
campaign_155,creative_420,8,93.48,1.000,11.69
campaign_346,creative_512,7,93.43,1.000,13.35
campaign_364,creative_863,8,93.42,1.000,11.68
campaign_202,creative_325,3,93.32,1.000,31.11
campaign_537,creative_1218,3,93.18,1.000,31.06
campaign_191,creative_523,4,93.16,0.750,23.29
campaign_23,creative_55,6,93.02,1.000,15.50
campaign_495,creative_1126,1,92.88,1.000,92.88
campaign_53,creative_152,4,92.80,1.000,23.20
campaign_579,creative_1340,2,92.69,1.000,46.35
campaign_131,creative_336,2,92.69,1.000,46.35
campaign_434,creative_989,2,92.50,1.000,46.25
campaign_217,creative_553,6,92.47,1.000,15.41
campaign_383,creative_885,2,92.44,1.000,46.22
campaign_382,creative_884,2,92.44,1.000,46.22
campaign_384,creative_892,7,92.24,0.857,13.18
campaign_39,creative_123,2,92.23,1.000,46.11
campaign_142,creative_364,4,92.21,1.000,23.05
campaign_568,creative_1321,4,92.04,1.000,23.01
campaign_589,creative_1359,2,92.03,1.000,46.01
campaign_190,creative_330,3,92.03,1.000,30.68
campaign_148,creative_315,9,91.99,0.500,10.22
campaign_259,creative_626,2,91.84,1.000,45.92
campaign_120,creative_319,17,91.77,1.000,5.40
campaign_418,creative_955,4,91.61,1.000,22.90
campaign_416,creative_948,17,91.54,1.000,5.38
campaign_118,creative_314,45,91.46,0.978,2.03
campaign_283,creative_640,3,91.45,1.000,30.48
campaign_422,creative_944,2,91.41,0.500,45.71
campaign_29,creative_83,2,91.40,1.000,45.70
campaign_196,creative_326,37,91.37,0.919,2.47
campaign_425,creative_962,8,91.34,1.000,11.42
campaign_369,creative_790,4,91.13,1.000,22.78
campaign_462,creative_328,10,91.13,0.833,9.11
campaign_484,creative_1114,18,91.12,1.000,5.06
campaign_528,creative_1203,13,91.10,1.000,7.01
campaign_466,creative_1068,3,91.07,1.000,30.36
campaign_55,creative_167,3,91.02,1.000,30.34
campaign_52,creative_160,6,90.93,1.000,15.16
campaign_180,creative_493,3,90.85,1.000,30.28
campaign_530,creative_1207,17,90.82,1.000,5.34
campaign_42,creative_33,30,90.76,0.967,3.03
campaign_404,creative_915,4,90.49,1.000,22.62
campaign_59,creative_180,2,90.44,1.000,45.22
campaign_142,creative_373,2,90.44,1.000,45.22
campaign_436,creative_995,2,90.44,1.000,45.22
campaign_62,creative_191,13,90.26,1.000,6.94
campaign_190,creative_343,3,89.93,1.000,29.98
campaign_188,creative_517,9,89.93,0.778,9.99
campaign_281,creative_656,6,89.92,0.833,14.99
campaign_281,creative_652,5,89.76,1.000,17.95
campaign_142,creative_370,2,89.65,1.000,44.83
campaign_564,creative_1315,2,89.65,1.000,44.83
campaign_419,creative_959,2,89.65,1.000,44.83
campaign_524,creative_1192,2,89.65,1.000,44.82
campaign_315,creative_502,4,89.46,1.000,22.36
campaign_467,creative_1069,2,89.40,1.000,44.70
campaign_127,creative_341,3,89.26,0.500,29.75
campaign_132,creative_336,2,89.26,1.000,44.63
campaign_203,creative_537,2,89.26,1.000,44.63
campaign_405,creative_930,14,89.22,1.000,6.37
campaign_273,creative_645,4,89.18,1.000,22.30
campaign_436,creative_999,4,89.02,1.000,22.25
campaign_124,creative_330,2,88.97,1.000,44.48
campaign_218,creative_556,2,88.97,1.000,44.48
campaign_27,creative_76,2,88.97,1.000,44.48
campaign_382,creative_885,16,88.89,1.000,5.56
campaign_201,creative_523,9,88.84,0.500,9.87
campaign_481,creative_1097,4,88.64,1.000,22.16
campaign_350,creative_825,2,88.62,1.000,44.31
campaign_44,creative_53,16,88.58,1.000,5.54
campaign_256,creative_612,4,88.53,1.000,22.13
campaign_568,creative_1323,5,88.44,1.000,17.69
campaign_445,creative_328,15,88.42,1.000,5.89
campaign_467,creative_1074,34,88.41,0.941,2.60
campaign_65,creative_196,9,88.40,1.000,9.82
campaign_524,creative_1190,12,88.39,1.000,7.37
campaign_207,creative_336,2,88.39,1.000,44.20
campaign_180,creative_494,1,88.37,1.000,88.37
campaign_380,creative_882,2,88.29,1.000,44.14
campaign_203,creative_330,14,88.26,1.000,6.30
campaign_568,creative_1325,4,88.26,1.000,22.06
campaign_171,creative_464,6,88.22,0.833,14.70
campaign_397,creative_915,2,88.15,1.000,44.07
campaign_334,creative_515,11,88.13,1.000,8.01
campaign_37,creative_83,12,87.82,0.917,7.32
campaign_198,creative_533,7,87.74,1.000,12.53
campaign_565,creative_1318,4,87.72,1.000,21.93
campaign_136,creative_356,5,87.65,1.000,17.53
campaign_437,creative_1013,2,87.48,1.000,43.74
campaign_62,creative_189,21,87.35,0.952,4.16
campaign_315,creative_746,7,87.23,1.000,12.46
campaign_143,creative_373,2,87.13,1.000,43.56
campaign_535,creative_1216,2,87.13,1.000,43.56
campaign_214,creative_547,2,87.13,1.000,43.56
campaign_130,creative_338,2,87.13,1.000,43.56
campaign_191,creative_520,2,87.13,1.000,43.56
campaign_29,creative_81,3,87.13,0.500,29.04
campaign_138,creative_360,2,87.13,1.000,43.56
campaign_144,creative_315,2,87.13,1.000,43.56
campaign_32,creative_81,4,87.13,0.333,21.78
campaign_267,creative_640,2,87.13,1.000,43.56
campaign_63,creative_182,3,87.13,1.000,29.04
campaign_125,creative_331,2,87.13,1.000,43.56
campaign_122,creative_327,2,87.13,1.000,43.56
campaign_34,creative_93,1,87.00,1.000,87.00
campaign_317,creative_752,6,86.96,1.000,14.49
campaign_170,creative_459,16,86.94,1.000,5.43
campaign_446,creative_1032,2,86.85,1.000,43.42
campaign_202,creative_524,3,86.76,1.000,28.92
campaign_287,creative_679,3,86.65,0.500,28.88
campaign_201,creative_519,2,86.64,1.000,43.32
campaign_183,creative_466,2,86.63,1.000,43.31
campaign_475,creative_1099,4,86.63,1.000,21.66
campaign_315,creative_745,5,86.54,1.000,17.31
campaign_89,creative_265,1,86.43,1.000,86.43
campaign_374,creative_463,1,86.43,1.000,86.43
campaign_489,creative_1119,4,86.37,1.000,21.59
campaign_100,creative_44,1,86.28,1.000,86.28
campaign_343,creative_811,1,86.28,1.000,86.28
campaign_78,creative_236,20,86.19,1.000,4.31
campaign_422,creative_945,2,86.19,1.000,43.10
campaign_255,creative_611,3,86.18,1.000,28.73
campaign_342,creative_809,2,85.57,1.000,42.78
campaign_408,creative_926,15,85.54,1.000,5.70
campaign_324,creative_771,2,85.49,1.000,42.75
campaign_272,creative_647,3,85.30,1.000,28.43
campaign_130,creative_344,4,85.26,1.000,21.31
campaign_378,creative_880,3,85.26,1.000,28.42
campaign_122,creative_324,4,85.26,1.000,21.31
campaign_311,creative_735,28,85.11,0.964,3.04
campaign_150,creative_383,4,84.89,1.000,21.22
campaign_151,creative_401,2,84.84,1.000,42.42
campaign_283,creative_645,2,84.80,1.000,42.40
campaign_495,creative_1115,5,84.69,1.000,16.94
campaign_353,creative_834,26,84.69,0.923,3.26
campaign_400,creative_920,19,84.62,1.000,4.45
campaign_19,creative_43,5,84.57,1.000,16.91
campaign_216,creative_549,9,84.46,1.000,9.38
campaign_186,creative_513,9,84.43,1.000,9.38
campaign_63,creative_174,13,84.22,1.000,6.48
campaign_320,creative_745,2,84.03,1.000,42.01
campaign_412,creative_940,15,84.02,1.000,5.60
campaign_331,creative_513,4,84.00,0.500,21.00
campaign_175,creative_476,2,84.00,1.000,42.00
campaign_224,creative_570,6,83.99,1.000,14.00
campaign_81,creative_244,6,83.87,1.000,13.98
campaign_389,creative_910,2,83.79,1.000,41.89
campaign_115,creative_301,2,83.79,1.000,41.89
campaign_570,creative_1315,1,83.78,1.000,83.78
campaign_263,creative_615,1,83.78,1.000,83.78
campaign_80,creative_229,25,83.72,1.000,3.35
campaign_139,creative_363,4,83.71,1.000,20.93
campaign_369,creative_809,4,83.59,1.000,20.90
campaign_533,creative_1213,2,83.54,1.000,41.77
campaign_321,creative_762,8,83.50,0.875,10.44
campaign_434,creative_991,2,83.43,1.000,41.71
campaign_23,creative_53,12,83.34,1.000,6.95
campaign_453,creative_1039,14,83.26,1.000,5.95
campaign_327,creative_786,6,83.25,1.000,13.88
campaign_428,creative_952,5,83.23,1.000,16.65
campaign_454,creative_330,6,83.18,1.000,13.86
campaign_272,creative_640,4,82.99,1.000,20.75
campaign_36,creative_78,7,82.97,1.000,11.85
campaign_41,creative_126,9,82.96,1.000,9.22
campaign_566,creative_1302,9,82.84,0.889,9.20
campaign_154,creative_412,5,82.82,1.000,16.56
campaign_564,creative_1314,6,82.81,1.000,13.80
campaign_186,creative_509,24,82.65,0.932,3.44
campaign_295,creative_693,4,82.60,1.000,20.65
campaign_106,creative_282,25,82.51,0.880,3.30
campaign_186,creative_510,11,82.25,1.000,7.48
campaign_415,creative_944,8,82.24,1.000,10.28
campaign_361,creative_855,1,82.19,1.000,82.19
campaign_554,creative_1274,2,82.11,1.000,41.06
campaign_584,creative_1348,5,82.05,1.000,16.41
campaign_131,creative_340,4,81.94,1.000,20.49
campaign_354,creative_837,1,81.85,1.000,81.85
campaign_34,creative_92,1,81.72,1.000,81.72
campaign_483,creative_1113,4,81.70,1.000,20.42
campaign_361,creative_858,2,81.49,1.000,40.74
campaign_459,creative_1052,5,81.30,1.000,16.26
campaign_259,creative_625,3,81.22,1.000,27.07
campaign_286,creative_644,8,81.21,1.000,10.15
campaign_565,creative_1312,4,81.17,1.000,20.29
campaign_276,creative_659,2,81.10,1.000,40.55
campaign_28,creative_80,2,81.10,1.000,40.55
campaign_563,creative_1310,2,81.10,1.000,40.55
campaign_149,creative_373,3,81.04,1.000,27.01
campaign_316,creative_463,4,80.93,1.000,20.23
campaign_348,creative_821,14,80.71,1.000,5.77
campaign_123,creative_333,4,80.60,1.000,20.15
campaign_492,creative_1112,1,80.54,1.000,80.54
campaign_451,creative_342,5,80.53,0.800,16.11
campaign_378,creative_746,3,80.45,1.000,26.82
campaign_294,creative_692,4,80.30,1.000,20.07
campaign_580,creative_1344,4,80.23,1.000,20.06
campaign_91,creative_258,2,80.18,1.000,40.09
campaign_309,creative_733,11,80.09,1.000,7.28
campaign_568,creative_1322,8,80.04,0.875,10.01
campaign_132,creative_341,2,79.96,1.000,39.98
campaign_121,creative_311,3,79.92,1.000,26.64
campaign_210,creative_541,2,79.81,1.000,39.91
campaign_106,creative_278,10,79.72,1.000,7.97
campaign_12,creative_31,1,79.67,1.000,79.67
campaign_314,creative_503,15,79.54,1.000,5.30
campaign_353,creative_835,5,79.53,1.000,15.91
campaign_359,creative_856,29,79.41,1.000,2.74
campaign_154,creative_410,1,79.29,1.000,79.29
campaign_358,creative_851,21,79.15,1.000,3.77
campaign_382,creative_888,13,79.12,1.000,6.09
campaign_49,creative_147,3,79.12,1.000,26.37
campaign_459,creative_1056,15,78.75,1.000,5.25
campaign_306,creative_730,4,78.74,1.000,19.68
campaign_450,creative_1037,6,78.63,1.000,13.10
campaign_464,creative_1061,3,78.61,1.000,26.20
campaign_194,creative_324,8,78.57,1.000,9.82
campaign_454,creative_1043,4,78.49,1.000,19.62
campaign_570,creative_1316,4,78.48,1.000,19.62
campaign_309,creative_735,7,78.43,1.000,11.20
campaign_302,creative_716,3,78.38,1.000,26.13
campaign_44,creative_44,3,78.30,1.000,26.10
campaign_235,creative_581,6,78.28,1.000,13.05
campaign_140,creative_352,14,78.06,0.500,5.58
campaign_482,creative_1111,5,77.98,1.000,15.60
campaign_358,creative_852,2,77.92,1.000,38.96
campaign_399,creative_918,9,77.87,1.000,8.65
campaign_388,creative_908,3,77.87,1.000,25.96
campaign_170,creative_457,17,77.79,0.824,4.58
campaign_316,creative_750,5,77.75,1.000,15.55
campaign_74,creative_220,2,77.73,0.500,38.86
campaign_302,creative_717,26,77.67,1.000,2.99
campaign_139,creative_362,12,77.42,1.000,6.45
campaign_451,creative_524,3,77.24,1.000,25.75
campaign_194,creative_526,2,77.05,1.000,38.52
campaign_216,creative_552,18,77.04,1.000,4.28
campaign_334,creative_497,6,77.04,1.000,12.84
campaign_542,creative_1228,2,76.87,1.000,38.43
campaign_450,creative_1038,6,76.83,1.000,12.81
campaign_468,creative_1084,2,76.76,1.000,38.38
campaign_490,creative_1121,2,76.76,1.000,38.38
campaign_468,creative_1083,2,76.76,1.000,38.38
campaign_338,creative_803,3,76.70,1.000,25.57
campaign_468,creative_1085,2,76.42,1.000,38.21
campaign_524,creative_1194,2,76.41,1.000,38.21
campaign_336,creative_797,19,76.34,0.895,4.02
campaign_171,creative_466,33,76.25,0.970,2.31
campaign_417,creative_951,6,76.23,1.000,12.70
campaign_478,creative_1108,3,76.15,1.000,25.38
campaign_171,creative_465,4,76.04,1.000,19.01
campaign_450,creative_1036,1,75.90,1.000,75.90
campaign_484,creative_1115,2,75.83,1.000,37.92
campaign_469,creative_1087,2,75.83,1.000,37.92
campaign_305,creative_710,15,75.73,1.000,5.05
campaign_100,creative_59,1,75.64,1.000,75.64
campaign_25,creative_71,6,75.59,1.000,12.60
campaign_70,creative_205,12,75.49,1.000,6.29
campaign_336,creative_801,19,75.31,1.000,3.96
campaign_82,creative_245,2,75.31,1.000,37.66
campaign_311,creative_736,23,75.24,1.000,3.27
campaign_279,creative_666,1,75.10,1.000,75.10
campaign_151,creative_400,1,75.10,1.000,75.10
campaign_156,creative_424,4,75.08,1.000,18.77
campaign_557,creative_1267,4,75.03,1.000,18.76
campaign_117,creative_309,2,75.03,1.000,37.51
campaign_200,creative_332,5,74.92,0.800,14.98
campaign_224,creative_571,6,74.81,1.000,12.47
campaign_131,creative_338,2,74.61,1.000,37.31
campaign_16,creative_38,2,74.61,1.000,37.31
campaign_182,creative_500,3,74.61,1.000,24.87
campaign_352,creative_831,2,74.61,1.000,37.31
campaign_350,creative_823,1,74.45,1.000,74.45
campaign_406,creative_928,1,74.45,1.000,74.45
campaign_58,creative_170,2,74.42,1.000,37.21
campaign_364,creative_868,1,74.40,1.000,74.40
campaign_101,creative_134,3,74.34,1.000,24.78
campaign_490,creative_1122,2,74.21,1.000,37.11
campaign_281,creative_659,2,74.18,1.000,37.09
campaign_167,creative_451,2,74.18,1.000,37.09
campaign_109,creative_286,2,74.18,1.000,37.09
campaign_28,creative_79,2,74.18,1.000,37.09
campaign_300,creative_712,14,74.13,1.000,5.29
campaign_110,creative_290,1,74.07,1.000,74.07
campaign_110,creative_288,1,74.07,1.000,74.07
campaign_88,creative_35,1,74.07,1.000,74.07
