campaign,total_payments,total_ltv,avg_late_payment_share,monetization_efficiency,campaign_tier
campaign_427,1,34.36,1.0000,34.36,Cut
campaign_461,1,34.12,1.0000,34.12,Cut
campaign_158,1,34.12,1.0000,34.12,Cut
campaign_507,2,34.11,1.0000,17.05,Cut
campaign_510,3,33.32,1.0000,11.11,Cut
campaign_398,1,33.10,1.0000,33.10,Cut
campaign_197,1,32.57,1.0000,32.57,Cut
campaign_238,2,32.33,1.0000,16.17,Cut
campaign_208,1,31.41,1.0000,31.41,Cut
campaign_390,1,30.76,1.0000,30.76,Cut
campaign_227,1,29.05,1.0000,29.05,Cut
campaign_443,1,28.82,1.0000,28.82,Cut
campaign_265,1,28.75,1.0000,28.75,Cut
campaign_391,1,27.93,1.0000,27.93,Cut
campaign_181,1,27.50,1.0000,27.50,Cut
campaign_274,1,26.48,1.0000,26.48,Cut
campaign_497,1,26.37,1.0000,26.37,Cut
campaign_86,1,25.78,1.0000,25.78,Cut
campaign_362,1,23.06,1.0000,23.06,Cut
campaign_20,3,22.94,1.0000,7.65,Cut
campaign_444,1,22.86,1.0000,22.86,Cut
campaign_326,1,22.82,1.0000,22.82,Cut
campaign_549,1,22.82,1.0000,22.82,Cut
campaign_18,2,22.82,1.0000,11.41,Cut
campaign_231,1,19.85,1.0000,19.85,Cut
campaign_365,1,19.01,1.0000,19.01,Cut
campaign_341,1,18.18,1.0000,18.18,Cut
campaign_229,1,17.81,1.0000,17.81,Cut
campaign_248,1,16.17,1.0000,16.17,Cut
campaign_13,1,0.00,0.0000,0.00,Cut
campaign_420,1,0.00,0.0000,0.00,Cut
campaign_94,1,0.00,0.0000,0.00,Cut
campaign_129,5,0.00,0.0000,0.00,Cut
campaign_576,1,0.00,0.0000,0.00,Cut
campaign_577,2,0.00,0.0000,0.00,Cut
campaign_288,1,0.00,0.0000,0.00,Cut
campaign_147,1,0.00,0.0000,0.00,Cut
campaign_578,1,0.00,0.0000,0.00,Cut
