campaign_rank,campaign,total_payments,total_ltv,revenue_share_pct,cumulative_revenue_share_pct,pareto_segment
480,campaign_226,11,58.84,0.03,98.18,Long tail
481,campaign_344,1,58.46,0.03,98.21,Long tail
482,campaign_395,1,58.18,0.03,98.23,Long tail
483,campaign_247,4,58.07,0.03,98.26,Long tail
484,campaign_552,5,57.87,0.03,98.28,Long tail
485,campaign_556,1,57.55,0.03,98.31,Long tail
486,campaign_423,3,57.36,0.03,98.34,Long tail
487,campaign_212,1,57.25,0.03,98.39,Long tail
488,campaign_9,1,57.25,0.03,98.39,Long tail
489,campaign_17,1,56.62,0.03,98.41,Long tail
490,campaign_373,1,54.59,0.02,98.44,Long tail
491,campaign_375,2,54.17,0.02,98.46,Long tail
492,campaign_261,8,54.04,0.02,98.49,Long tail
493,campaign_356,1,52.93,0.02,98.51,Long tail
494,campaign_67,1,52.35,0.02,98.54,Long tail
495,campaign_96,1,52.23,0.02,98.56,Long tail
496,campaign_538,2,51.56,0.02,98.61,Long tail
497,campaign_448,2,51.56,0.02,98.61,Long tail
498,campaign_33,2,50.99,0.02,98.63,Long tail
499,campaign_499,1,50.77,0.02,98.65,Long tail
500,campaign_567,1,50.41,0.02,98.68,Long tail
501,campaign_10,1,49.86,0.02,98.70,Long tail
502,campaign_501,2,49.66,0.02,98.72,Long tail
503,campaign_319,1,45.96,0.02,98.74,Long tail
504,campaign_225,14,45.77,0.02,98.76,Long tail
505,campaign_575,1,45.01,0.02,98.78,Long tail
506,campaign_381,2,44.95,0.02,98.80,Long tail
507,campaign_322,1,44.80,0.02,98.82,Long tail
508,campaign_431,2,44.75,0.02,98.85,Long tail
509,campaign_157,1,44.66,0.02,98.87,Long tail
510,campaign_280,1,44.48,0.02,98.89,Long tail
511,campaign_335,1,44.41,0.02,98.91,Long tail
512,campaign_487,5,44.32,0.02,98.93,Long tail
513,campaign_485,1,44.20,0.02,98.95,Long tail
514,campaign_457,1,43.85,0.02,98.97,Long tail
515,campaign_14,2,43.67,0.02,98.99,Long tail
516,campaign_574,1,43.56,0.02,99.01,Long tail
517,campaign_293,1,43.38,0.02,99.03,Long tail
518,campaign_234,2,42.75,0.02,99.05,Long tail
519,campaign_48,1,42.03,0.02,99.06,Long tail
520,campaign_403,1,42.01,0.02,99.08,Long tail
521,campaign_376,1,41.41,0.02,99.10,Long tail
522,campaign_85,1,40.73,0.02,99.12,Long tail
523,campaign_253,2,40.32,0.02,99.14,Long tail
524,campaign_333,1,40.03,0.02,99.16,Long tail
525,campaign_11,1,39.98,0.02,99.18,Long tail
526,campaign_385,4,39.29,0.02,99.19,Long tail
527,campaign_500,2,39.25,0.02,99.21,Long tail
528,campaign_355,1,39.07,0.02,99.23,Long tail
529,campaign_228,1,38.21,0.02,99.25,Long tail
530,campaign_494,1,38.13,0.02,99.28,Long tail
531,campaign_270,1,38.13,0.02,99.28,Long tail
532,campaign_340,2,38.03,0.02,99.30,Long tail
533,campaign_313,3,37.73,0.02,99.32,Long tail
534,campaign_178,2,37.63,0.02,99.33,Long tail
535,campaign_386,1,37.34,0.02,99.37,Long tail
536,campaign_393,1,37.34,0.02,99.37,Long tail
537,campaign_22,1,37.31,0.02,99.38,Long tail
538,campaign_394,2,37.30,0.02,99.40,Long tail
539,campaign_312,2,37.13,0.02,99.42,Long tail
540,campaign_277,1,37.09,0.02,99.43,Long tail
541,campaign_582,1,36.79,0.02,99.45,Long tail
542,campaign_502,1,36.67,0.02,99.47,Long tail
543,campaign_463,1,36.40,0.02,99.48,Long tail
544,campaign_536,1,36.30,0.02,99.50,Long tail
545,campaign_532,1,36.06,0.02,99.52,Long tail
546,campaign_581,1,35.80,0.02,99.53,Long tail
547,campaign_252,2,35.62,0.02,99.55,Long tail
548,campaign_213,1,35.56,0.02,99.57,Long tail
549,campaign_133,1,35.51,0.02,99.58,Long tail
550,campaign_6,1,34.92,0.02,99.60,Long tail
551,campaign_68,1,34.84,0.02,99.63,Long tail
552,campaign_75,1,34.84,0.02,99.63,Long tail
553,campaign_424,1,34.36,0.02,99.66,Long tail
554,campaign_427,1,34.36,0.02,99.66,Long tail
555,campaign_461,1,34.12,0.02,99.69,Long tail
556,campaign_158,1,34.12,0.02,99.69,Long tail
557,campaign_507,2,34.11,0.02,99.71,Long tail
558,campaign_510,3,33.32,0.02,99.72,Long tail
559,campaign_398,1,33.10,0.02,99.74,Long tail
560,campaign_197,1,32.57,0.01,99.75,Long tail
561,campaign_238,2,32.33,0.01,99.77,Long tail
562,campaign_208,1,31.41,0.01,99.78,Long tail
563,campaign_390,1,30.76,0.01,99.80,Long tail
564,campaign_227,1,29.05,0.01,99.81,Long tail
565,campaign_443,1,28.82,0.01,99.82,Long tail
566,campaign_265,1,28.75,0.01,99.84,Long tail
567,campaign_391,1,27.93,0.01,99.85,Long tail
568,campaign_181,1,27.50,0.01,99.86,Long tail
569,campaign_274,1,26.48,0.01,99.87,Long tail
570,campaign_497,1,26.37,0.01,99.88,Long tail
571,campaign_86,1,25.78,0.01,99.90,Long tail
572,campaign_362,1,23.06,0.01,99.91,Long tail
573,campaign_20,3,22.94,0.01,99.92,Long tail
574,campaign_444,1,22.86,0.01,99.93,Long tail
575,campaign_326,1,22.82,0.01,99.96,Long tail
576,campaign_549,1,22.82,0.01,99.96,Long tail
577,campaign_18,2,22.82,0.01,99.96,Long tail
578,campaign_231,1,19.85,0.01,99.97,Long tail
579,campaign_365,1,19.01,0.01,99.98,Long tail
580,campaign_341,1,18.18,0.01,99.98,Long tail
581,campaign_229,1,17.81,0.01,99.99,Long tail
582,campaign_248,1,16.17,0.01,100.00,Long tail
583,campaign_13,1,0.00,0.00,100.00,Long tail
584,campaign_420,1,0.00,0.00,100.00,Long tail
585,campaign_94,1,0.00,0.00,100.00,Long tail
586,campaign_129,5,0.00,0.00,100.00,Long tail
587,campaign_576,1,0.00,0.00,100.00,Long tail
588,campaign_577,2,0.00,0.00,100.00,Long tail
589,campaign_288,1,0.00,0.00,100.00,Long tail
590,campaign_147,1,0.00,0.00,100.00,Long tail
591,campaign_578,1,0.00,0.00,100.00,Long tail
